ts,client_msg_id,channel_id,thread_ts,latest_reply,team,type,user,text,subscribed,reply_count,reply_users,blocks,reply_users_count
2020-07-06 17:58:52,9901bd49-e425-453f-9446-908a9b18e724,C014LS99C1K,1594058332.0374,1594153053.0392,T7GMC60JX,message,U012CQL57CH,"A blog post that walks through how to make your own plugins in Superset, by <@UHK31ESN4>. Pinned in this channel as reference.\n<https://preset.io/blog/2020-07-02-hello-world/>",,2,"[""U013UCLGRDH"", ""UHK31ESN4""]","[{""type"": ""rich_text""}]",2
2020-08-07 04:31:18,,C0188FT3V2S,1596774678.0002,,,message,U010L66PJ6N,<@U010L66PJ6N> has joined the channel,,,,,
2020-07-21 07:50:34,93f66a0a-1f7d-4475-be8d-d1ce9e0099bf,CH307T4JG,1595317834.0762,1595523246.0806,T7GMC60JX,message,UH0UPCJVD,"<!here> `0.37.0rc3` was just sent out for voting, please try it out and cast a vote on the dev list!",,4,"[""UM4AW481K"", ""UH0UPCJVD""]","[{""type"": ""rich_text""}]",2
2020-10-25 09:36:08,114d7289-ed95-4664-90b8-adc87bba5710,C0170U650CQ,1603618568.2309,1605051637.3257,T7GMC60JX,message,U9SRUD2U9,getting the same in Firefox and Lynx,,6,"[""U0131V7SMEE"", ""U9SRUD2U9"", ""U014D0Q95K5"", ""U01EFT2NKJ6""]","[{""type"": ""rich_text""}]",4
2020-09-29 17:54:19,,CK1P3L23E,1601402059.0125,1601482583.0152,,message,U012BQ37UNT,"I don't know if this is the appropriate channel for this - but I'm currently looking at the *<http://deck.gl|deck.gl> scatterplot* chart - I haven't tried to find the code yet to dig up the answers myself, so this may be a dumb question:\nThere's a box with _Map Style_ in it.  Does anyone know where those comes from?  (ie. Is there an easy way to use custom mapbox themes?)\nThanks!",,1,"[""U012BQ37UNT""]","[{""type"": ""rich_text""}]",1
2020-10-25 09:37:14,9f8c95f4-dea4-4b7d-b7ef-b5e360f47cb0,C0170U650CQ,1603618634.231,,T7GMC60JX,message,U0131V7SMEE,<https://github.com/apache/incubator-superset/issues/11171>,,,,"[{""type"": ""rich_text""}]",
2020-11-25 17:21:28,c5242308-d3a4-414d-b36b-4997d00cd2c6,C0170U650CQ,1606324888.4325,1606392219.4529,T7GMC60JX,message,U01FQPMJ17W,"Hi, New to this channel and I'm hoping for some help!",,2,"[""U010L66PJ6N"", ""U01FQPMJ17W""]","[{""type"": ""rich_text""}]",2
2020-09-30 16:16:23,a3d852f7-f05f-491f-a349-36ea0fee07b0,CK1P3L23E,1601482583.0152,,T7GMC60JX,message,U012BQ37UNT,<https://github.com/apache/incubator-superset/blob/master/superset-frontend/src/explore/controlPanels/Shared_DeckGL.jsx#L359> (in case anyone else wonders this),,,,"[{""type"": ""rich_text""}]",
2020-07-16 10:38:10,cc7bdc4b-8929-4acc-9dd6-85bf52bbe281,CH307T4JG,1594895890.0706,1595004715.0727,T7GMC60JX,message,UH0UPCJVD,"<!here> `0.37.0rc2` is now up for vote. As previously, please help us ensure that `0.37.0` is a good and healthy release!",,3,"[""UM4AW481K"", ""UH0UPCJVD""]","[{""type"": ""rich_text""}]",2
2020-11-25 17:31:41,f19aa508-d8b2-4e59-8b01-bf7da40ac38b,C0170U650CQ,1606325501.4326,,T7GMC60JX,message,U010L66PJ6N,what is your issue?,,,,"[{""type"": ""rich_text""}]",
2020-11-04 05:56:43,,C01EP56QGTS,1604469403.0002,,,message,U01E30VMWSY,<@U01E30VMWSY> has joined the channel,,,,,
2020-08-07 13:12:36,,CH307T4JG,1596805956.0984,,,message,U01880WS0EA,<@U01880WS0EA> has joined the channel,,,,,
2020-08-07 05:12:31,f970142e-e555-4312-80ec-094a73991525,C7G8CG0LR,1596777151.1078,,T7GMC60JX,message,U012KRFMM1U,"```how to host superset successfully on aws instance because i tried using screen and nohup,superset was automatically killed without giving any log for error?```",,,,"[{""type"": ""rich_text""}]",
2020-11-18 12:11:00,,C7G8CG0LR,1605701460.0112,1605892658.0289,,message,U017A1VETPT,"Hi.\nOn line chart, when I check propagate, range filter doesn't applied other charts as expected. Anyone else faced same issue?",,2,"[""U017A1VETPT"", ""UMA9QBF2L""]","[{""type"": ""rich_text""}]",2
2020-07-30 17:34:27,d672a256-2abe-4c34-a71c-48340981b77e,CH307T4JG,1596130467.0911,1596186912.0938,T7GMC60JX,message,UH0UPCJVD,"It seems no new blockers for a 0.37.0 have surfaced, so I think it\u2019s time to cut 0.37.0rc4. I\u2019m planning to do that within the next 24 h.",,7,"[""UK6FK7KN3"", ""UH0UPCJVD"", ""UM4AW481K"", ""U014D0Q95K5""]","[{""type"": ""rich_text""}]",4
2020-07-30 17:35:57,6ee65571-35c6-446b-bc04-0b6517e2f20a,CH307T4JG,1596130557.0913,,T7GMC60JX,message,UK6FK7KN3,"<@UUW8GV604> deployed from master yesterday, so I think it\u2019s pretty stable",,,,"[{""type"": ""rich_text""}]",
2020-07-30 17:44:05,688b50c4-6393-404d-aef9-cc709619b4ba,CH307T4JG,1596131045.0919,,T7GMC60JX,message,UH0UPCJVD,"Good to know, thanks!",,,,"[{""type"": ""rich_text""}]",
2020-07-29 14:55:31,,CK1P3L23E,1596034531.0837,1600175483.0076,,message,U010L66PJ6N,first glimpse of re-implemented bar chart\nintroducing some new features like horizontal bars layout and others,,10,"[""UHK31ESN4"", ""U010L66PJ6N"", ""USELF6APQ"", ""UMB4WQHC7"", ""U01B51RM87J""]","[{""type"": ""rich_text""}]",5
2020-08-01 16:29:03,51517fb0-fe68-4f47-b0c8-986d85c99e02,CK1P3L23E,1596299343.0853,,T7GMC60JX,message,USELF6APQ,fantastic work <@U010L66PJ6N>!!!,,,,"[{""type"": ""rich_text""}]",
2020-08-31 17:31:27,08d7796b-172f-45de-a1fe-d6bc271ad354,C7G8CG0LR,1598895087.0096,,T7GMC60JX,message,U012T0EEX3K,switch it back to the plugin... 405 error,,,,"[{""type"": ""rich_text""}]",
2020-10-28 13:11:50,6BC75749-8771-4BD7-937D-3F346AB1FE17,C01D313C5JS,1603890710.0003,,T7GMC60JX,message,U01D76V70Q3,* friendly bump *,,,,"[{""type"": ""rich_text""}]",
2020-09-24 09:21:22,3a7c10e3-09ae-4a8b-8001-949c7a928a4d,C014LS99C1K,1600939282.0012,,T7GMC60JX,message,U019BCGD0QY,"Hi <!here>, someone can please guide me how should I correctly add a new package to the requirements files ?",,,,"[{""type"": ""rich_text""}]",
2020-11-19 21:47:41,,G016MQH4A2Z,1605822461.0265,,,message,UPKUKSEAJ,<@UPKUKSEAJ> has joined the group,,,,,
2020-07-07 07:21:55,a12d63f6-4a49-41d4-8a0b-b96e341d2a13,C0170U650CQ,1594106515.0405,1594596445.0889,T7GMC60JX,message,URQJZJKKK,"Hi I am trying to figure out the permissions system in Superset, what I am wondering is if its possible to apply permissions in the sqllab area? Specifically I only want certain roles to be able to query a table. It seems like this is not possible",,5,"[""U017A84463S"", ""URQJZJKKK""]","[{""type"": ""rich_text""}]",2
2020-07-07 10:14:54,335dea4c-0d4e-41c3-88ea-ceccf3c8a4e1,C0170U650CQ,1594116894.0409,,T7GMC60JX,message,U017A84463S,You can - go to the Manage tab then &gt; List Roles\nthere you can choose do edit permissions for Sqllab and add users in the List Users tab,,,,"[{""type"": ""rich_text""}]",
2020-07-07 22:46:51,dd3e9ace-bfa0-49f7-a9f5-fa64b1f8bb9f,C0170U650CQ,1594162011.0449,,T7GMC60JX,message,URQJZJKKK,<@U017A84463S> thanks for the response. I have applying various different combinations of `datasource access on ...` and `schema access on...` but none the level of granularity I am looking for. Is it possible to grant access to some roles to query only certain tables in sqllab? It seems the only way to query tables is to apply the role `all datasource access on all_datasource_access`,,,,"[{""type"": ""rich_text""}]",
